"Care_Category","Care_Category_Specific","Care_Category_Speciality","Name","Unit","F_Address","Postal_Code","LONGITUDE","LATITUDE","lat","long"
"Child_Centric","School",NA,"Sherwood Secondary School","","25 High Street,Hamilton,ON","",NA,NA,"43.22757995",-79.82281037
"Child_Centric","School",NA,"Queensdale Elementary School","","67 Queensdale Avenue East,Hamilton,ON","",NA,NA,"43.24208775",-79.8726759
"Child_Centric","School",NA,"Canadian Martyrs' Elementary School","","1355 Main Street West,Hamilton,ON","",NA,NA,"43.2571202",-79.92106256
"Child_Centric","School",NA,"St. Mary Secondary School","","200 Whitney Avenue,Hamilton,ON","",NA,NA,"43.2546545",-79.9278821
"Child_Centric","School",NA,"Millgrove Elementary School","","375 5th Concession West ,Hamilton,ON","",NA,NA,"43.33657662",-79.96048307
"Child_Centric","School",NA,"Columbia International College","","1033 Main Street West,Hamilton,ON","",NA,NA,"43.2582659",-79.9077967
"Child_Centric","School",NA,"St. Michael Elementary School","","135 Hester Street,Hamilton,ON","",NA,NA,"43.2242173",-79.87450656
"Child_Centric","School",NA,"Cathedral High School","","30 Wentworth Street North,Hamilton,ON","",NA,NA,"43.25314395",-79.84748757
"Child_Centric","School",NA,"Memorial (Hamilton) Elementary School","","1175 Main Street East,Hamilton,ON","",NA,NA,"43.2434957",-79.82029794
"Child_Centric","School",NA,"Sir Winston Churchill Secondary School","","1715 Main Street East,Hamilton,ON","",NA,NA,"43.2378776",-79.79521265
"Child_Centric","School",NA,"St. Eugene Elementary School","","120 Parkdale Avenue South,Hamilton,ON","",NA,NA,"43.2337355",-79.79410678
"Child_Centric","School",NA,"Ancaster Meadow Elementary School","","93 Kitty Murray Lane,Hamilton,ON","",NA,NA,"43.2213656",-79.95177164
"Child_Centric","School",NA,"Gatestone Elementary School","","127 Gatestone Drive,Hamilton,ON","",NA,NA,"43.18181805",-79.78940882
"Child_Centric","School",NA,"Adelaide Hoodless Elementary School","","71 Maplewood Avenue,Hamilton,ON","",NA,NA,"43.24579395",-79.8370187
"Child_Centric","School",NA,"Balaclava Elementary School","","280 10 Concession Road East,Hamilton,ON","",NA,NA,"43.3998381",-80.0355532
"Child_Centric","School",NA,"St. Vincent De Paul Elementary School","","295 Green Cedar Drive,Hamilton,ON","",NA,NA,"43.22288034",-79.92253716
"Child_Centric","School",NA,"Sir Allan MacNab Secondary School","","145 Magnolia Drive,Hamilton,ON","",NA,NA,"43.2305748",-79.92145374
"Child_Centric","School",NA,"Flamborough Centre Elementary School","","922 Centre Road,Hamilton,ON","",NA,NA,"43.35898795",-79.93196498
"Child_Centric","School",NA,"Lake Avenue Elementary School","","157 Lake Avenue North,Hamilton,ON","",NA,NA,"43.23180435",-79.7565229
"Child_Centric","School",NA,"Glendale Secondary School","","145 Rainbow Drive,Hamilton,ON","",NA,NA,"43.22604015",-79.77914621
"Child_Centric","School",NA,"Our Lady of Mount Carmel Elementary School","","1624 Centre Road,Hamilton,ON","",NA,NA,"43.4042111",-79.99435731
"Child_Centric","School",NA,"Eastdale Elementary School","","99 Lincoln Road,Hamilton,ON","",NA,NA,"43.2250143",-79.7352323
"Child_Centric","School",NA,"Our Lady of the Assumption Elementary School","","103 Fletcher Road,Hamilton,ON","",NA,NA,"43.149394",-79.8188736
"Child_Centric","School",NA,"Norwood Park Elementary School","","165 Terrace Drive,Hamilton,ON","",NA,NA,"43.23005695",-79.8768485
"Child_Centric","School",NA,"R. A. Riddell Elementary School","","200 Cranbrook Drive,Hamilton,ON","",NA,NA,"43.2216808",-79.9101351
"Child_Centric","School",NA,"Timothy Canadian Reformed School","","430 East 25th Street,Hamilton,ON","",NA,NA,"43.226738",-79.8540067
"Child_Centric","School",NA,"Glenwood Special Day School","","150 Lower Horning Road,Hamilton,ON","",NA,NA,"43.2488161",-79.93442546
"Child_Centric","School",NA,"Dalewood Middle School","","1150 Main Street West,Hamilton,ON","",NA,NA,"43.258202",-79.9131524
"Child_Centric","School",NA,"Vincent Massey Alternative Education Centre","","155 Macassa Avenue,Hamilton,ON","",NA,NA,"43.224717",-79.8419962
"Child_Centric","School",NA,"Sir Wilfrid Laurier School","","70 Albright Road,Hamilton,ON","",NA,NA,"43.21808225",-79.78773863
"Child_Centric","School",NA,"Lee Academy","","1978 2nd Concession West,Hamilton,ON","",NA,NA,"43.24934102",-80.13977243
"Child_Centric","School",NA,"Ray Lewis Elementary School","","27 Jessica Street,Hamilton,ON","",NA,NA,"43.19406705",-79.87116474
"Child_Centric","School",NA,"Franklin Road Elementary School","","500 Franklin Road,Hamilton,ON","",NA,NA,"43.22526445",-79.85144091
"Child_Centric","School",NA,"Sacred Heart Elementary School","","5 Hamilton Avenue,Hamilton,ON","",NA,NA,"43.24129675",-79.84920335
"Child_Centric","School",NA,"Sts. Peter and Paul Elementary School","","49 Fennell Avenue East,Hamilton,ON","",NA,NA,"43.23746565",-79.87483453
"Child_Centric","School",NA,"Bishop Ryan Secondary School","","1824 Rymal Road East,Hamilton,ON","",NA,NA,"43.18149155",-79.81772176
"Child_Centric","School",NA,"Allan A. Greenleaf Elementary School","","211 Parkside Drive,Hamilton,ON","",NA,NA,"43.3340673",-79.91260611
"Child_Centric","School",NA,"St. Charles Adult Education Centre","","770 Main Street East,Hamilton,ON","",NA,NA,"43.2473612",-79.8390513
"Child_Centric","School",NA,"Grandview Adventist Academy","","3975 Highway 6 ,Hamilton,ON","",NA,NA,"43.1336391",-79.9246222
"Child_Centric","School",NA,"Prince of Wales Elementary School","","77 Melrose Avenue North,Hamilton,ON","",NA,NA,"43.2524664",-79.83194566
"Child_Centric","School",NA,"Queen Victoria Elementary School","","166 Forest Avenue,Hamilton,ON","",NA,NA,"43.2483673",-79.86534754
"Child_Centric","School",NA,"Providence Christian School","","542 Ofield Road North,Hamilton,ON","",NA,NA,"43.30442443",-79.979117
"Child_Centric","School",NA,"St. Thomas the Apostle Elementary School","","170 Skinner Road,Hamilton,ON","",NA,NA,"43.3384614",-79.87711719
"Child_Centric","School",NA,"Calvin Christian School","","547 West 5th Street,Hamilton,ON","",NA,NA,"43.22764112",-79.88718237
"Child_Centric","School",NA,"Dundana Elementary School","","23 Dundana Avenue,Hamilton,ON","",NA,NA,"43.258087",-79.95186011
"Child_Centric","School",NA,"St. Kateri Tekakwitha Elementary School","","22 Queensbury Drive,Hamilton,ON","",NA,NA,"43.2020564",-79.8410927
"Child_Centric","School",NA,"St. Joachim Elementary School","","75 Concerto Crescent,Hamilton,ON","",NA,NA,"43.20885863",-79.98870056
"Child_Centric","School",NA,"Helen Detwiler Elementary School","","320 Brigade Drive,Hamilton,ON","",NA,NA,"43.20250875",-79.87791345
"Child_Centric","School",NA,"Colin Macdonald Community School","","201 Paradise Road North,Hamilton,ON","",NA,NA,"43.26989245",-79.89610938
"Child_Centric","School",NA,"Central Elementary School","","75 Hunter Street West,Hamilton,ON","",NA,NA,"43.25407745",-79.87457754
"Child_Centric","School",NA,"Lisgar Elementary School","","110 Anson Avenue,Hamilton,ON","",NA,NA,"43.2110998",-79.82889794
"Child_Centric","School",NA,"Holy Name of Jesus Elementary School","","181 Belmont Avenue North,Hamilton,ON","",NA,NA,"43.24974512",-79.82289856
"Child_Centric","School",NA,"Westdale Secondary School","","700 Main Street West,Hamilton,ON","",NA,NA,"43.2609387",-79.90053007
"Child_Centric","School",NA,"St. John the Baptist Elementary School","","115 London Street South,Hamilton,ON","",NA,NA,"43.2387159",-79.81968135
"Child_Centric","School",NA,"Strathcona Elementary School","","10 Lamoreaux Street,Hamilton,ON","",NA,NA,"43.2640656",-79.88478365
"Child_Centric","School",NA,"Highview Elementary School","","1040 Queensdale Avenue East,Hamilton,ON","",NA,NA,"43.23027955",-79.83113437
"Child_Centric","School",NA,"Janet Lee Elementary School","","291 Winterberry Drive,Hamilton,ON","",NA,NA,"43.19148385",-79.80694691
"Child_Centric","School",NA,"Rockton Elementary School","","670 Highway 8 ,Hamilton,ON","",NA,NA,"43.2298326",-79.773702
"Child_Centric","School",NA,"Dundas Central Elementary School","","73 Melville Street,Hamilton,ON","",NA,NA,"43.2691185",-79.95816305
"Child_Centric","School",NA,"St. Francis Xavier Elementary School","","298 Highway 8 ,Hamilton,ON","",NA,NA,"43.2199681",-79.73267564
"Child_Centric","School",NA,"Saltfleet Secondary School","","108 Highland Road West,Hamilton,ON","",NA,NA,"43.18410765",-79.77850774
"Child_Centric","School",NA,"Lincoln Alexander Elementary School","","50 Ravenbury Drive,Hamilton,ON","",NA,NA,"43.2059277",-79.85272961
"Child_Centric","School",NA,"Hamilton Hebrew Academy","","60 Dow Avenue,Hamilton,ON","",NA,NA,"43.2563902",-79.9101473
"Child_Centric","School",NA,"Ancaster High School","","374 Jerseyville Road West,Hamilton,ON","",NA,NA,"43.2148039",-80.00457315
"Child_Centric","School",NA,"Islamic School of Hamilton","","1545 Stone Church Road East,Hamilton,ON","",NA,NA,"43.19554115",-79.8205309
"Child_Centric","School",NA,"Yorkview Elementary School","","86 Cameron Avenue,Hamilton,ON","",NA,NA,"43.27443385",-79.94507999
"Child_Centric","School",NA,"Tapleytown Elementary School","","390 Mud Street East,Hamilton,ON","",NA,NA,"43.18087325",-79.73462705
"Child_Centric","School",NA,"Our Lady of Lourdes Elementary School","","420 Mohawk Road East,Hamilton,ON","",NA,NA,"43.22216885",-79.85781462
"Child_Centric","School",NA,"Hillfield-Strathallan College","","299 Fennell Avenue West,Hamilton,ON","",NA,NA,"43.2411246",-79.8920991
"Child_Centric","School",NA,"Mary Hopkins Elementary School","","211 Mill Street North,Hamilton,ON","",NA,NA,"43.3377853",-79.89799014
"Child_Centric","School",NA,"St. Jean De Brebeuf Secondary School","","200 Acadia Drive,Hamilton,ON","",NA,NA,"43.20127175",-79.86488985
"Child_Centric","School",NA,"St. Bernadette Elementary School","","270 Governor's Road,Hamilton,ON","",NA,NA,"43.2588048",-79.97235122
"Child_Centric","School",NA,"Collegiate Avenue Elementary School","","49 Collegiate Avenue,Hamilton,ON","",NA,NA,"43.22107215",-79.74930711
"Child_Centric","School",NA,"Orchard Park Secondary School","","200 Dewitt Road,Hamilton,ON","",NA,NA,"43.2172811",-79.71116519
"Child_Centric","School",NA,"Arrell Youth Centre","","320 Anchor Road,Hamilton,ON","",NA,NA,"43.1933421",-79.823784
"Child_Centric","School",NA,"Parkway Learning Centre","","140 Centennial Parkway North,Hamilton,ON","",NA,NA,"43.23324003",-79.76186667
"Child_Centric","School",NA,"Hillcrest Elementary School","","40 Eastwood Street,Hamilton,ON","",NA,NA,"43.23979825",-79.77726642
