Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,Address,Street_Name,Street_Type,Community,Province,Postal_Code,LONGITUDE,LATITUDE
Child_Centric,School,,Our Lady of Mount Carmel Elementary School,,1624,Centre,Road,Flamborough,ON,,,
Child_Centric,School,,Eastdale Elementary School,,99,Lincoln,Road,Stoney Creek,ON,,,
Child_Centric,School,,Our Lady of the Assumption Elementary School,,103,Fletcher,Road,Stoney Creek,ON,,,
Child_Centric,School,,Norwood Park Elementary School,,165,Terrace,Drive,Hamilton,ON,,,
Child_Centric,School,,R. A. Riddell Elementary School,,200,Cranbrook,Drive,Hamilton,ON,,,
Child_Centric,School,,Timothy Canadian Reformed School,,430,East 25th,Street,Hamilton,ON,,,
Child_Centric,School,,Glenwood Special Day School,,150,Lower Horning,Road,Hamilton,ON,,,
Child_Centric,School,,Dalewood Middle School,,1150,Main,Street West,Hamilton,ON,,,
Child_Centric,School,,Vincent Massey Alternative Education Centre,,155,Macassa,Avenue,Hamilton,ON,,,
Child_Centric,School,,Sir Wilfrid Laurier School,,70,Albright,Road,Hamilton,ON,,,
Child_Centric,School,,Lee Academy,,1978,2nd,Concession West,Flamborough,ON,,,
Child_Centric,School,,Ray Lewis Elementary School,,27,Jessica,Street,Hamilton,ON,,,
Child_Centric,School,,Franklin Road Elementary School,,500,Franklin,Road,Hamilton,ON,,,
Child_Centric,School,,Sacred Heart Elementary School,,5,Hamilton,Avenue,Hamilton,ON,,,
Child_Centric,School,,Sts. Peter and Paul Elementary School,,49,Fennell,Avenue East,Hamilton,ON,,,
Child_Centric,School,,Bishop Ryan Secondary School,,1824,Rymal,Road East,Glanbrook,ON,,,
Child_Centric,School,,Allan A. Greenleaf Elementary School,,211,Parkside,Drive,Flamborough,ON,,,
Child_Centric,School,,St. Charles Adult Education Centre,,770,Main,Street East,Hamilton,ON,,,
Child_Centric,School,,Grandview Adventist Academy,,3975,Highway 6,,Glanbrook,ON,,,
Child_Centric,School,,Prince of Wales Elementary School,,77,Melrose,Avenue North,Hamilton,ON,,,
Child_Centric,School,,Queen Victoria Elementary School,,166,Forest,Avenue,Hamilton,ON,,,
Child_Centric,School,,Providence Christian School,,542,Ofield,Road North,Flamborough,ON,,,
Child_Centric,School,,St. Thomas the Apostle Elementary School,,170,Skinner,Road,Flamborough,ON,,,
Child_Centric,School,,Calvin Christian School,,547,West 5th,Street,Hamilton,ON,,,
Child_Centric,School,,Dundana Elementary School,,23,Dundana,Avenue,Dundas,ON,,,
Child_Centric,School,,St. Kateri Tekakwitha Elementary School,,22,Queensbury,Drive,Hamilton,ON,,,
